	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
2171	13.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Selected Estates of Europe Ltd	$22,  Buy Now	Red Blend	Castello della Paneretta	Aromas of French oak, chopped herb and a whiff of pressed blue flower take shape on this. Reflecting the cool, wet vintage, the fresh, light-bodied palate shows hints of sour cherry and clove alongside loose, not very persistent tannins. Drink soon.	87	2172	Kerin O’Keefe	Castello della Paneretta 2014  Chianti Classico	https://www.winemag.com/buying-guide/castello-della-paneretta-2014-chianti-classico/
2172	14%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Riserva	MW Imports	$26,  Buy Now	Red Blend	Castello di Monsanto	Aromas of underbrush, grilled porcini, toasted oak and a whiff of cassis lead the nose. The tight, rather lean palate offers star anise, roasted nut, powdered sage, espresso and just a hint of dried berry alongside grainy tannins that leave an astringent finish. Give the tannins a few years to unwind then drink to capture the remaining fruit.	87	2173	Kerin O’Keefe	Castello di Monsanto 2014 Riserva  (Chianti Classico)	https://www.winemag.com/buying-guide/castello-di-monsanto-2014-riserva-chianti-classico/
2173	13%	Beaujolais-Leynes, Beaujolais, France	750 ml	Red	3/1/2018	Le Clos	Vintage '59 Imports	$26,  Buy Now	Gamay	Château de Lavernette	A ripe, fruity, red-cherry flavored wine, this is attractive already. It has a rich, smoky texture as well as layers of fruit and acidity. With the edge of tannin in the back, the wine could age further, although there is no real need. It's ready to drink now.	87	2174	Roger Voss	Château de Lavernette 2016 Le Clos  (Beaujolais-Leynes)	https://www.winemag.com/buying-guide/chateau-de-lavernette-2016-le-clos-beaujolais-leynes/
2174	15.5%	Malleco, Chile	750 ml	Red	3/1/2018	Latuffa	Vine Connections	$35,  Buy Now	Pinot Noir	Clos des Fous	While this is good, there are many disparate parts to this Pinot from southerly Malleco. The nose is strained, raw and a bit horsey, while this feels grabby and full on the palate, even creamy. Heavy oak and saucy plum and berry flavors turn chocolaty on the finish. At 15.5%, this is riper than most Chilean PN's.	87	2175	Michael Schachner	Clos des Fous 2015 Latuffa Pinot Noir (Malleco)	https://www.winemag.com/buying-guide/clos-des-fous-2015-latuffa-pinot-noir-malleco/
2175	15.1%	Chile, Chile	750 ml	Red	3/1/2018	Subsollum	Vine Connections	$20,  Buy Now	Pinot Noir	Clos des Fous	Gritty, earthy aromas of plum and cherry lead to a chunky oaky palate that's slightly abrasive and warm. A heavy oak character matches the wine's creamy plum and berry flavors, while a short oaky finish is limited. At 15.1% abv, this is not about finesse.	87	2176	Michael Schachner	Clos des Fous 2015 Subsollum Pinot Noir (Chile)	https://www.winemag.com/buying-guide/clos-des-fous-2015-subsollum-pinot-noir-chile/
2176	12.3%	Finger Lakes, Finger Lakes, New York, US	750 ml	White	3/1/2018	Rhysling		$25,  Buy Now	Riesling	Damiani	Focused aromas of stone fruit, pressed apples and florals carry to a pithy, medium-bodied, off-dry palate, bolstered by ripe peach and tart apricot flavors. A mild vein of acidity keeps the weight in check and helps extend the blossomy, floral finish. For every bottle sold, 20% of the proceeds goes to organizations dedicated to pediatric cardiology.	87	2177	Alexander Peartree	Damiani 2015 Rhysling Riesling (Finger Lakes)	https://www.winemag.com/buying-guide/damiani-2015-rhysling-riesling-finger-lakes/
2177	13.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Novecento Riserva	de Grazia Imports LLC	$35,  Buy Now	Red Blend	Dievole	This opens with aromas of underbrush, cured meat and a whiff of violet. The assertive palate offers dried black cherry, tobacco, and star anise alongside firm tannins that leave a rather astringent finish. Drink through 2022.	87	2178	Kerin O’Keefe	Dievole 2015 Novecento Riserva  (Chianti Classico)	https://www.winemag.com/buying-guide/dievole-2015-novecento-riserva-chianti-classico/
2178	14.5%	Côtes du Rhône, Rhône Valley, France	750 ml	Red	3/1/2018		Saranty Imports	$14,  Buy Now	Rhône-style Red Blend	Domaine Coudoulis	Hints of cinnamon and anise lend spice to soft, slightly muted tones of blackberry and cherry here. Full bodied and rich, this is a densely textured wine with yielding acidity and ripe sinewy tannins. Drink now through 2020.	87	2179	Anna Lee C. Iijima	Domaine Coudoulis 2015 Red (Côtes du Rhône)	https://www.winemag.com/buying-guide/domaine-coudoulis-2015-red-cotes-du-rhone/
2179	12.5%	Beaujolais-Villages, Beaujolais, France	750 ml	Red	3/1/2018	Les Granits Bleus	Skurnik Wines, Inc	$17,  Buy Now	Gamay	Domaine de Bel-Air	This ripe, fruity wine with its red-cherry flavor is open and soft. A crisp, succulent edge adds to the attractiveness, giving a bright, fruity character. Drink now.	87	2180	Roger Voss	Domaine de Bel-Air 2016 Les Granits Bleus  (Beaujolais-Villages)	https://www.winemag.com/buying-guide/domaine-de-bel-air-2016-les-granits-bleus-beaujolais-villages/
2180	12.5%	Beaujolais, Beaujolais, France	750 ml	Red	3/1/2018	Les Galets	Roche-Mère Wine Selections	$21,  Buy Now	Gamay	Domaine Gaget	This wine is all bright red berries and crisp acidity. It is a light, tangy and juicy wine from 40-year-old vines on a five-acre parcel. Drink now.	87	2181	Roger Voss	Domaine Gaget 2016 Les Galets  (Beaujolais)	https://www.winemag.com/buying-guide/domaine-gaget-2016-les-galets-beaujolais/
2181	13%	Beaujolais-Villages, Beaujolais, France	750 ml	Red	3/1/2018	Les Extrêmes	Saranty Imports	$20,  Buy Now	Gamay	Domaine Lathuilière Gravallon	Ripe cherry fruit and a dense texture give this wine its concentration and spiciness. It is a full wine, rich with red fruits and acidity, and ready to drink now.	87	2182	Roger Voss	Domaine Lathuilière Gravallon 2015 Les Extrêmes  (Beaujolais-Villages)	https://www.winemag.com/buying-guide/domaine-lathuiliere-gravallon-2015-les-extremes-beaujolais-villages/
2182	12.5%	Fleurie, Beaujolais, France	750 ml	Red	3/1/2018	Avalanche de Printemps	Martine's Wines	$30,  Buy Now	Gamay	Domaine Marc Delienne	This wine is crisp and bright with red-berry flavors and intense acidity. Produced from 40-year-old vines, it has some concentration as well as a tight, mineral aftertaste. Drink now.	87	2183	Roger Voss	Domaine Marc Delienne 2016 Avalanche de Printemps  (Fleurie)	https://www.winemag.com/buying-guide/domaine-marc-delienne-2016-avalanche-de-printemps-fleurie/
2183	14.5%	Beaujolais-Villages, Beaujolais, France	750 ml	Red	3/1/2018	La Savoye	Langdon Shiverick	$18,  Buy Now	Gamay	Domaine Raphaël Chopin	This is red-berry driven, packed with dense fruits and layered with concentrated tannins. It seems a bit overdone and takes away from the fruitiness of the Gamay. It's definitely for those who like big, powerful wines.	87	2184	Roger Voss	Domaine Raphaël Chopin 2016 La Savoye  (Beaujolais-Villages)	https://www.winemag.com/buying-guide/domaine-raphael-chopin-2016-la-savoye-beaujolais-villages/
2184	14.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Riserva	Votto Vines Importing	$60,  Buy Now	Sangiovese	Fattoria Le Fonti	Aromas of mocha, coconut and red plum lead the nose. The dense palate delivers raisin, vanilla and toasted oak alongside close-grained tannins that leave an astringent finish.	87	2185	Kerin O’Keefe	Fattoria Le Fonti 2014 Riserva  (Chianti Classico)	https://www.winemag.com/buying-guide/fattoria-le-fonti-2014-riserva-chianti-classico/
2185	13.5%	Fleurie, Beaujolais, France	750 ml	Red	3/1/2018	Clos des Quatre Vents	Quintessential Wines	$22,  Buy Now	Gamay	Georges Duboeuf	This wine is soft, ripe and fruity. With a smooth texture only lightly ruffled by tannins, it is full of red cherries and plums with bright acidity. It is ready to drink now.	87	2186	Roger Voss	Georges Duboeuf 2016 Clos des Quatre Vents  (Fleurie)	https://www.winemag.com/buying-guide/georges-duboeuf-2016-clos-des-quatre-vents-fleurie/
2186	12.5%	Fleurie, Beaujolais, France	750 ml	Red	3/1/2018	Flower Label	Quintessential Wines	$20,  Buy Now	Gamay	Georges Duboeuf	This succulent wine is full of red fruits and dusty tannins. The acidity and fruitiness are balanced by the structure that will allow this wine to mature further. Drink from mid-2018.	87	2187	Roger Voss	Georges Duboeuf 2016 Flower Label  (Fleurie)	https://www.winemag.com/buying-guide/georges-duboeuf-2016-flower-label-fleurie/
2187	13.5%	Finger Lakes, Finger Lakes, New York, US	750 ml	White	3/1/2018	Reserve Macri Vineyard		$27,  Buy Now	Chardonnay	Heron Hill	Clean notes of peach, citrus and quince on the nose carry to the medium-bodied palate. Fermented in French oak, this shows a pleasant roundness, with a delicate balance of acidity to maintain freshness.	87	2188	Alexander Peartree	Heron Hill 2015 Reserve Macri Vineyard Chardonnay (Finger Lakes)	https://www.winemag.com/buying-guide/heron-hill-2015-reserve-macri-vineyard-chardonnay-finger-lakes/
2188	14%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Empson USA Ltd	$23,  Buy Now	Red Blend	Il Molino di Grace	Mature black-skinned fruit, dark spice and used leather aromas lift out of the glass. The evolved, straightforward palate shows prune and a hint of clove framed in assertive, dusty tannins that leave a firm finish. Despite the tight tannins drink sooner rather than later to capture the remaining fruit.	87	2189	Kerin O’Keefe	Il Molino di Grace 2015  Chianti Classico	https://www.winemag.com/buying-guide/il-molino-di-grace-2015-chianti-classico/
2189	12.5%	Beaujolais-Villages, Beaujolais, France	750 ml	Red	3/1/2018	Les Vignes de Thulon	Ideal Wine and Spirits	$20,  Buy Now	Gamay	Jean-Marc Burgaud	A crisp, attractively perfumed wine, this is packed with red-berry flavors and has a light tannic texture. It has a rich side although the attractive fresh acidity brings this wine to life. Drink now.	87	2190	Roger Voss	Jean-Marc Burgaud 2016 Les Vignes de Thulon  (Beaujolais-Villages)	https://www.winemag.com/buying-guide/jean-marc-burgaud-2016-les-vignes-de-thulon-beaujolais-villages/
2190	13.5%	Swartland, South Africa	750 ml	White	3/1/2018		Kysela Père et Fils	$19,  Buy Now	Chardonnay	Kasteelberg	This wine leads with rich and mature notes of toasted apple skin, honeycomb cereal, creamed melon and grilled peach. It's a touch round and soft upon entry, but the palate received a welcome lift from ample acidity and an ensuring sweet-spice finish, reminiscent of spiced orange rind and baked apple. Drink now–2020.	90	2191	Lauren Buzzeo	Kasteelberg 2015 Chardonnay (Swartland)	https://www.winemag.com/buying-guide/kasteelberg-2015-chardonnay-swartland/
2191	14.9%	Sonoma County, Sonoma, California, US	750 ml	Red	3/1/2018	Cuvée		$26,  Buy Now	Red Blend	Kokomo	This hearty red is made from nearly equal parts Cabernet Sauvignon, Malbec and Grenache, with smaller amounts of Petite Sirah and Merlot. Juicy and structured in black and red cherry and currant, it offers sizable tannin weight and a grip of toasted oak, remaining succulent and bright in the glass.	90	2192	Virginie Boone	Kokomo 2015 Cuvée Red (Sonoma County)	https://www.winemag.com/buying-guide/kokomo-2015-cuvee-red-sonoma-county/
2192	14.5%	Gigondas, Rhône Valley, France	750 ml	Red	3/1/2018		Hand Picked Selections	$35,  Buy Now	Grenache Blend, Grenache	Laurence Féraud	Fleshy and full on the palate, this plump red wine offers heaps of juicy, easy black-cherry and berry flavors peppered with spice and mocha. It's a rich, mouthfilling sip but tightens up firmly, with a bold, tannic finish.	90	2193	Anna Lee C. Iijima	Laurence Féraud 2013  Gigondas	https://www.winemag.com/buying-guide/laurence-feraud-2013-gigondas/
2193	14%	Gigondas, Rhône Valley, France	750 ml	Red	3/1/2018		Kinson The Future of Wine	$29,  Buy Now	Rhône-style Red Blend	Lavau	Whiffs of black-cherry preserves dusted in sweet spice introduce this unctuously fruity red. It's a straightforward, juicy wine but boldly concentrated with flavors of sun-kissed plums and berries that linger through a long, softly tannic finish. Drink now through 2020.	90	2194	Anna Lee C. Iijima	Lavau 2015  Gigondas	https://www.winemag.com/buying-guide/lavau-2015-gigondas/
2194	14.8%	Howell Mountain, Napa, California, US	750 ml	Red	3/1/2018			$80,  Buy Now	Cabernet Sauvignon	Madrigal	Dark black color gives way to brooding ripeness and density of black fruit, with a huge presence of oak and tannin. Aspects of leather, black pepper and tomato leaf figure into the mix, saved by a brightness of acidity that helps complement the wine's concentrated tendencies.	90	2195	Virginie Boone	Madrigal 2013 Cabernet Sauvignon (Howell Mountain)	https://www.winemag.com/buying-guide/madrigal-2013-cabernet-sauvignon-howell-mountain/
2195	14%	Luberon, Rhône Valley, France	750 ml	Red	3/1/2018	Domaine des Hunaudieres	Saranty Imports	$14,  Buy Now	Rhône-style Red Blend	Maison Denuzière	Punchy blackberry and cherry flavors abound in this straightforward yet delightfully juicy wine. Ripe, yielding tannins and sunny acidity accentuate its approachable, appealing style but elegant touches of mint and spice lend flair to the finish.	90	2196	Anna Lee C. Iijima	Maison Denuzière 2015 Domaine des Hunaudieres Red (Luberon)	https://www.winemag.com/buying-guide/maison-denuziere-2015-domaine-des-hunaudieres-red-luberon/
2196	14.54%	Luberon, Rhône Valley, France	750 ml	Red	3/1/2018	Grand Marrenon	USA Wine Imports	$20,  Buy Now	Rhône-style Red Blend	Marrenon	Heady tones of violet, lavender and smoke persist from nose to finish in this opulent, elegant wine. The palate is concentrated and juicy, offering loads of succulent blackberry and plum flavors peppered with spice and bramble. The finish is long and persistent, marked by chalky but firm tannins.	90	2197	Anna Lee C. Iijima	Marrenon 2015 Grand Marrenon Red (Luberon)	https://www.winemag.com/buying-guide/marrenon-2015-grand-marrenon-red-luberon/
2197	14.2%	Oak Knoll District, Napa, California, US	750 ml	White	3/1/2018			$27,  Buy Now	Chardonnay	Materra Cunat Family Vineyards	Intensely oaky and robustly built, this young white mellows in the glass to reveal a voluptuous citrus core. It offers vibrancy on the finish that plays well against bold flavors of pear and melon.	90	2198	Virginie Boone	Materra Cunat Family Vineyards 2016 Chardonnay (Oak Knoll District)	https://www.winemag.com/buying-guide/materra-cunat-family-vineyards-2016-chardonnay-oak-knoll-district/
2198	14.1%	Lake County, California, US	750 ml	Red	3/1/2018			$32,  Buy Now	Tempranillo	Mt. Konocti Winery	This is a big full-bodied wine that packs a bounty of ripe bold fruit flavors into a firm frame of tannins, alcohol and moderate acidity. It has a big impact on the palate with the concentration to back it up. Big proteins will pair nicely with it.	90	2199	Jim Gordon	Mt. Konocti Winery 2014 Tempranillo (Lake County)	https://www.winemag.com/buying-guide/mt-konocti-winery-2014-tempranillo-lake-county/
2199	13%	Morgon, Beaujolais, France	750 ml	Red	3/1/2018	Côte du Py	Saranty Imports	$17,  Buy Now	Gamay	Pardon et Fils	Spice, cherries and some tannins are the order of the day in this wine. Tannins are present although not dominant, giving a wine that is more to do with rich berry fruits and black cherries. Still developing, the wine will be better from late 2018.	90	2200	Roger Voss	Pardon et Fils 2016 Côte du Py  (Morgon)	https://www.winemag.com/buying-guide/pardon-et-fils-2016-cote-du-py-morgon/
